1;2;3;4;5;6;7;;;;;;;
Codigo;Nombre Cliente;Lista de Precio Excel;Direccion;Lista de Precio Gas;Comentarios;Telefono/Contacto;;Forma de Pago;Forma;Factura;Tipo;Hs. Entrega;Reparto
001;AMODIL;6;"Intendente Neyer 1643; Beccar";;Envio Saldo los 1 eros por Mail;rrhh@amodil.com     German;CC;Mensual;Efectivo;;;5:30 hs;1
002;PAN DE ANGEL;5;Gral  guido 1143 Beccar;1;Envio saldo los Lunes temprano;11-3637-6383 ANA;CC;Semanal;;Semanal;A;6/7AM;
003;MONICA TUYUTI;5;Tuyuti 780, Tigre, Rincon;1;;11 5806-2475;Contado;Diario;Efectivo;;;8:00 hs;3
004;V Y B ;5;Tuyuti 231;1;;11 6112-4865;Contado;Diario;Efectivo;;;;
005;EL TORO;5;"Av Santa Maria y 9 de Julio; Tigre, Rincon";3;;11 5879-1234;Contado;Diario;Efectivo;;;8:00 ha;3
006;LOS ANTOJOS;5;Martin Rodriguez 323;1;Envio saldo los Lunes temprano;11 3471-0455;CC;Semanal;Efectivo;;;8:00hs;3
007;LINIERS;15;"Av Liniers 1699; Tigre";4;Envio Saldo a Matias 1 ero de mes;Celu Pana;CC;Mensual;Efectivo;;;6:30hs;2
008;MARCOS SASTRE;7;BELGRANO 620, TIGRE;4;;1140895492 - martin;Contado;Diario;Efectivo;;;7/7:30;
009;ALICIA;5;"Montevideo y Albarellos; Tigre";1;;11 2317-0381;Contado;Diario;Efectivo;;;9:00 hs;2
010;ALE FIAMBRE;5;"Av Dardo Rocha 954; Tigre";3;; 11 6960-6565;;;;;;9:00hs;2
011;DERIVA RESTO;5;Catamarca 2291, entre bogota y caracas;1;;114481001;Contado;;Efectivo;;;12hs;
012;ARROYO FELIPE;5;"Estacion Fluvial; Tigre";1;Generalmente paga los Domingos sin que le pase la cuenta;1165705202;CC;Semanal;MP;;;8:00hs;2
013;VANINA;5;"Italia 885; Tigre";1;;11 5493-7922;;;;;;;
014;VIVANCO;8;"Bartolome Mitre 74; Tigre";;Envio saldo los Lunes temprano;1155123719 Federico;CC;Cheque;Semanal;;A;7:00hs;2
015;ESCUELA DON ORIONE;5;ROCHA 1664;1;;1151140898;;;;;;;
016;EL VASCO;5;"Av Cazon 1487; Tigre";7;;Celu Pana;Contado;Diario;Efectivo;;;9/10 hs;2
017;TIGRE MARKET;5;"Castelli 176; Tigre";8;Envio el saldo 1 ero de mes;1133639999 Coco;CC;Mensual;Efectivo;;;10:30 hs;3
018;EL BODEGON;5;"Italia 1398; Tigre";1;;1160188678 Maria;Contado;Diario;Efectivo;;;9/10 hs;2
019;SABORES DUT;5;"Remeros Dut Manzana 6 Local 8; Tigre, Rincon";9;;11 3334-4579;Contado;Diario;Efectivo;;;9:00hs;3
020;GRACIELA BILOCH;5;"Billoch 375; Tigre";10;;11 2462-2531;;;;;;9:00hs;3
021;GRANJA C Y S;5;"Williams 888;  Tigre";2;;11 6357-9321;Contado;Diario;Efectivo;;;9/10hs ;3
022;UBA;5;;1;Envio saldo los Sabados temprano y se cobra mismo dia;1126769507 Facundo;CC;Semanal;Efectivo;Cuando Trasnfiere;B;;
023;TIMON DORADO;5;"Estacion Fluvial; Tigre";11;Envio saldo los Lunes temprano ( paga a semana vencida );1144260007 Romina;CC;Semanal;MP;Se factura cuando transfiere;B;8:00 hs;2
024;COT;6;"Lisandro de la Torre 2500; Troncos de Talar";1;;1137562075 Roberto;Contado;Diario;Efectivo;;;;
025;UTN;6;"Hipolito Yrigoyen; Puente Pacheco";1;;1134478285 Estefania;Contado;Semanal;Efectivo;;;;
026;GLORIAS;9;"Av Dardo Rocha 919; Tigre";12;Envio saldo los Lunes temprano;1169033138 Lucas;CC;Semanal;Efectivo;;;7 y 9 hs;2
027;POMPEYA;10;"Av Cazon 1186; Tigre";13;Envio saldo los Lunes temprano;1163362559 Lorena;CC;Semanal;Efectivo;;;10 hs;3
028;ROWING;5;"Coronel Morales 1563; Tigre";1;Envio Saldo 1ero de mes;1157229213 Agustin;CC;Mensual;Efectivo;Mensual;A;10hs;3
029;BRODERS;5;;14;;Celu Pana;Contado;Diario;Efectivo;;;12/13hs;3
030;ESCUELA N 3;5;ENCISO 1409;14;;;Contado;Diario;Efectivo;;;;
031;TIA LITA;16;"Paseo Victorica 134; Tigre";15;Envio saldo los Lunes temprano;1162701894 Maxi;CC;Semanal;MP;Semanal;A;11/12hs;3
032;LOS ISLEÑOS;5;"Sarmiento 49; Tigre Puerto de Frutos";15;;;;;;;;;
033;NEGRI;9;"Sarmiento 7; Tigre Puerto de Frutos";1;Envio Saldo Los Lunes Luego de las 10:00 am;1160439139 Agustin;CC;Semanal;MP;Semanal;A;9/10 hs;2
034;PALAS;5;;16;Envio saldo los Lunes temprano;1150369343 Federico;CC;Semanal;Efectivo;;;RETIRA;
035;IL FIUME;5;"Paseo Victorica 96;  Tigre";1;;1151644583 Lucas;Contado;Diario;Efectivo;;;9/10 hs;2
036;COLEGIO MARCOS SASTRE;5;LINIERS 1024, TIGRE;13;;1140895492;;;Efectivo;;;8/9HS;
037;AGUSTIN/LUCAS CARNICERIA;5;RETIRA MOSTRADOR;1;;;;;;;;RETIRA 7AM;
038;ALCAZAR;5;RETIRA O STURLA;1;Envio saldo los Lunes temprano;1154199431 Marcelo;CC;Semanal;MP/Efectivo;Cuando Trasnfiere;B;RETIRA 7AM;
039;BEMVELON/REMO;5;RETIRA MOSTRADOR;11;;;;;;;;;
040;RIO TIGRE HOTEL;5;LAVALLE 289, TIGRE;1;;;;;;;;;
041;ESCUELA N 1;7;ROCHA 250;1;;;;;;;;;
042;CLUB DEPORTIVO;5;;1;;;;;;;;;
043;BORASO;5;RETIRA MOSTRADOR;1;Envio Saldo 1ero de mes;1161037893 Ramiro;CC;Mensual;Efectivo;Mensual;;RETIRA 9/10hs;
044;CATERING BRAZZI;11;ITUZAINGO 1876, SAN FERNANDO;17;Envio saldo los Lunes temprano;1169021207 Pablo;CC;Semanal;Transferencia;Semanal;A;;
045;ABUELA TOTO;5;Avenida Italia 417, Tigre ;18;;;;DIARIO;EFECTIVO;;;9HS;
046;JUANCHO 1;12;"Belgrano 40; Los Troncos";19;;1160529885 LOLO;CC;Efectivo;A dia Vencido;;;7hs;2
047;JUANCHO 2;12;"Alexis Carrel 481; Los Troncos";19;;1149276751 Claudio;CC;Efectivo;A dia Vencido;;;7hs;2
048;LAURA;5;;7;;Celu Pana;Contado;Diario;Efectivo;;;;
049;GUERE GUERE RINCON;5;"Williams 910;  Tigre, Rincon";20;Envio saldo los Lunes temprano;1136929633 Sebastian;CC;Semanal;Efectivo;;;7/8hs;1
050;GUERE GUERE CONFITERIA;5;"Av del Angel T. de Alvear 1925; Don Torcuato";20;Envio saldo los Lunes temprano;1136929633 Sebastian;CC;Semanal;Efectivo;;;11/12hs;1
051;TUTTO SAN FERNANDO;14;"Constitucion 1148;  San Fernando";21;;11 3502-4484;Contado;Diario;Efectivo;;Mensual;5:30/6hs;1
052;LA CREMONA;5;"Av Avellaneda 1595;  San Fernando";21;;1127350055 Alejandro;Contado;Diario;Efectivo;;;6/6:30hs;1
053;DATE EL GUSTO;5;AV DARDO ROCHA 1418;1;;1161633878;Contado;;Efectivo;;;11/12HS;
054;MED DEL ABUELO;13;"Av Cazon 1217; Tigre";20;Envio saldo los Lunes temprano;1154143077 Norberto;CC;Semanal;Efectivo;;Mensual;7/8hs;1
055;Kiosko Charly;;;;Paga los Viernes con ese dia inclusive paso saldo antes que vaya ema;Celu Pana;CC;CC;Semanal;;;;
056;Café Bayone;5;Galeria de los isleños al fondo;18;;11 4070-5235;Contado;Diario;Efectivo;;;9/10hs;2
057;Rabito;5;;11;;Celu Pana;Contado;Diario;Efectivo;;;;
058;Los Isleños;5;SARMIENTO 49, TIGRE;15;;1153323884 Pepa;Contado;Diario;Efectivo;;;;
059;Carlitos;5;;1;;Celu Pana;Contado;Diario;Efectivo;;;;
060;Union Tigrense;5;ESTRADA 549, TIGRE;1;;1134433515 Lucas;Contado;Diario;Efectivo;;;10/11hs;2
061;Prisila puerto;5;;14;;Celu Pana;Contado;Diario;Efectivo;;;;
062;Escuelas;8;;1;;Celu Pana;Contado;Diario;Debito/Efectivo;;;;
063;Isla Bruma;5;"Paseo Victorica 498; Tigre";1;;1158055802 Bruno;CC;Semanal;MP;Cuando Trasnfiere;B;;
064;Coke Rowing;;;;;1150024422 Coke;Contado;Diario;Efectivo;;;;
065;San Fer pan rayado;7;Maipu 2146;3;;;;;;;;12/13hs;3
066;Noc;5;"Av Cazon (esquina Mitre) ; Tigre";1;;;;;;;;9/10hs;2
067;Gelay;5;"Av Liniers 1811; Tigre";1;;;;;;;;10/11hs;2
068;La Cueva;5;Italia 1678;1;;;;;;;;9/10hs;2
069;Daniel Pan Rayado;5;;3;Martinez Castro 2910 Soldati;1162340920;Contado;Diario;Efectivo;;;;
070;Parrilla Larralde (Al lado de YPF);5;;1;;;;;;;;;
071;Sabores Dut Martinez;5;RETIRA MOSTRADOR;9;;;;;;;;;
072;Jessica Puerto;5;PIZARRO 1330;;;1128318781 JESSICA;;;;;;;
073;El Paisanito (Monica isla);5;;1;Muelle el paisanito, lancha jilguero 12hs. Solo sabados;1138600570;;mp;;;;;
074;Agridulce (stefi);5;saenz peña 1255;1;entre sarmiento y guareschi, abre 7:30. todo cocido;1135995965;;;;;;8/9HS;
075;Bar Marilyn;5;RETIRA MOSTRADOR;1;;;;;;;;RETIRA;
076;Baruc;8;"Estacion Fluvial; Tigre";1;;11 2896-5860;;;;;;9/10hs;2
077;ITALIA;13;ITALIA ESQUINA MITRE;;;;;;;;;10/11hs;1
078;Cristian Selicorni;5;;;;;;;;;;;
079;Los 3 Chiflados;5;Av Italia 857;;;1164633923;;;;;;;
080;La Rivera;5;AV DE LA RIVERA 999, TIGRE;;;;;;;;;8/9hs;3
081;Astor Bar;5;RETIRA MOSTRADOR;;;1133238894;;eft;paga;;;;
082;hecho con amor;5;bourdieu 595;;;1165301157;;;paga;;;7/8hs;1
083;HISPANO;5;AV. VICTORICA 50;;;;;;;;;;
084;Espacio Rivera;5;AV DE LA RIVERA 999, TIGRE;;;;;;;;;;
085;MARI;7;SARGENTO CABRAL 2084 (ESQ ALBA);;;1123685958;;;;;;8AM;
086;Almacen de Pan SF;15;9 DE JULIO 1449, SAN FERNANDO;;;;;;;;;;
087;Berlina;5;Av. Liniers 2466;;;;;;;;;;
