Codigo;Rubro;Detalle Articulo;Minorista;Mayorista;AMODIL;EL TANO;VIVANCO;GLORIAS;POMPEYA;BRAZZI;JUANCHOS;GUERE GUERE/ABUELO;TUTTO SAN FER;RINCON / LINIERS;JOAQUIN CHINO;VILLA TERRA;;;Costeo Mercaderia sin MO;Gastos Generales Sacado del informe mensual;Costo Total ;;;;;;;;;
;;;Lista 0;Listas 1;Listas 2;Listas 4 ;Listas 6 ;Listas 12;Listas 13;Listas 17;Listas 19;Listas 20;Listas 21;Listas 22;Listas 22;;;;;;;;;;;;;;;
;;;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;18;19;20;21;22;23;24;25;;;;
;;PANES;;;;;;;;;;;;;;;;;;25%;;;;;;;;;;
0001;PANES;PAN COMUN; $ 3.300,00 ; $ 1.980,00 ; $ 1.980,00 ; $ 1.870,00 ; $ 1.760,00 ; $ 1.870,00 ; $ 2.090,00 ; $ 1.980,00 ; $ 1.650,00 ; $ 2.090,00 ; $ 2.090,00 ; $ 1.430,00 ; $ 1.540,00 ; $ 1.650,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0001;PANES;PAN COMUN;;;;
0002;PANES;FRANCES / FRANCES C/ SEMILLAS X 500GR; $ 1.900,00 ; $ 1.045,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 950,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0002;PANES;FRANCES / FRANCES C/ SEMILLAS X 500GR;;;;
0003;PANES;PAN PARA BUDIN; $ -   ; $ 1.430,00 ; $ -   ; $ -   ; $ -   ; $ 1.430,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ -   ; $ -   ; $ -   ;;;0003;PANES;PAN PARA BUDIN;;;;
0004;PANES;NEGRITO Y FIGASA; $ 6.200,00 ; $ 2.860,00 ; $ -   ; $ 1.650,00 ; $ 2.860,00 ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ -   ; $ -   ; $ 2.860,00 ; $ -   ; $ 3.100,00 ;;; $ 895,70 ; $ 223,93 ; $ 1.119,63 ;;;0004;PANES;NEGRITO Y FIGASA;;;;
0005;PANES;SURTIDO NEGRITO/GALLETA/FIGASA; $ -   ; $ 1.980,00 ; $ -   ; $ 1.650,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.860,00 ; $ -   ; $ -   ;;; $ 895,70 ; $ 223,93 ; $ 1.119,63 ;;;0005;PANES;SURTIDO NEGRITO/GALLETA/FIGASA;;;;
0006;PANES;SABORIZADOS; $ 7.200,00 ; $ 3.190,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ -   ; $ 3.600,00 ;;; $ 958,94 ; $ 239,73 ; $ 1.198,67 ;;;0006;PANES;SABORIZADOS;;;;
0007;PANES;BOLLITOS; $ -   ; $ 2.970,00 ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ -   ; $ -   ;;; $ 899,60 ; $ 224,90 ; $ 1.124,50 ;;;0007;PANES;BOLLITOS;;;;
0008;PANES;FELIPE; $ 4.100,00 ; $ 1.980,00 ; $ -   ; $ -   ; $ 1.980,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.540,00 ; $ -   ; $ 2.050,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0008;PANES;FELIPE;;;;
0009;PANES;PAN DE PIZZA; $ 6.200,00 ; $ 3.190,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ -   ; $ 3.100,00 ;;; $ 745,28 ; $ 186,32 ; $ 931,60 ;;;0009;PANES;PAN DE PIZZA;;;;
0010;PANES;PAN DE MASA MADRE KG; $ 6.200,00 ; $ 5.280,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.510,00 ; $ -   ; $ 3.100,00 ;;; $ 2.224,69 ; $ 556,17 ; $ 2.780,86 ;;;0010;PANES;PAN DE MASA MADRE KG;;;;
0012;PANES;PAN DE MOLDE CHICO (FETEADO) BLANCO; $ 3.300,00 ; $ 1.980,00 ; $ -   ; $ -   ; $ 3.630,00 ; $ -   ; $ -   ; $ -   ; $ 1.980,00 ; $ 1.870,00 ; $ 1.870,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ;;; $ 270,47 ; $ 67,62 ; $ 338,09 ;;;0012;PANES;PAN DE MOLDE CHICO (FETEADO) BLANCO;;;;
0025;PANES;PAN DE MOLDE CHICO (FETEADO)  NEGRO; $ 5.300,00 ; $ 3.630,00 ; $ 3.850,00 ; $ -   ; $ 3.630,00 ; $ -   ; $ 3.300,00 ; $ -   ; $ -   ; $ 3.300,00 ; $ 3.300,00 ; $ 3.630,00 ; $ 3.850,00 ; $ 2.650,00 ;;; $ 2.687,59 ; $ 671,90 ; $ 3.359,49 ;;;0025;PANES;PAN DE MOLDE CHICO (FETEADO)  NEGRO;;;;
0026;PANES;PAN DE MOLDE GRANDE NEGRO; $ 7.300,00 ; $ 6.270,00 ; $ -   ; $ -   ; $ 5.610,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.390,00 ; $ -   ; $ 3.650,00 ;;; $ 5.363,21 ; $ 1.340,80 ; $ 6.704,02 ;;;0026;PANES;PAN DE MOLDE GRANDE NEGRO;;;;
0028;PANES;PAN DE MOLDE CHICO BLANCO SIN FETEAR; $ 5.200,00 ; $ 2.530,00 ; $ 2.530,00 ; $ -   ; $ 2.530,00 ; $ 2.530,00 ; $ 2.530,00 ; $ 2.530,00 ; $ 2.860,00 ; $ 2.530,00 ; $ 2.530,00 ; $ 1.540,00 ; $ 2.860,00 ; $ 2.600,00 ;;; $ 270,47 ; $ 67,62 ; $ 338,09 ;;;0028;PANES;PAN DE MOLDE CHICO BLANCO SIN FETEAR;;;;
0029;PANES;PAN DE MOLDE CHICO NEGRO SIN FETEAR; $ 5.300,00 ; $ 3.630,00 ; $ 3.850,00 ; $ -   ; $ 3.300,00 ; $ 3.300,00 ; $ 3.300,00 ; $ 3.300,00 ; $ 3.630,00 ; $ 3.300,00 ; $ 3.300,00 ; $ 3.630,00 ; $ 3.850,00 ; $ 2.650,00 ;;; $ 2.687,59 ; $ 671,90 ; $ 3.359,49 ;;;0029;PANES;PAN DE MOLDE CHICO NEGRO SIN FETEAR;;;;
0017;PANES;PAN DE MOLDE GRANDE BLANCO; $ 5.700,00 ; $ 2.530,00 ; $ 2.860,00 ; $ -   ; $ 4.180,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.530,00 ; $ 3.300,00 ; $ 2.310,00 ; $ 2.860,00 ; $ 2.850,00 ;;; $ 514,67 ; $ 128,67 ; $ 643,33 ;;;0017;PANES;PAN DE MOLDE GRANDE BLANCO;;;;
0013;PANES;PAN DE CAMPO X UNIDAD; $ 1.400,00 ; $ 1.045,00 ; $ 660,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 770,00 ; $ 550,00 ; $ 700,00 ;;; $ 286,53 ; $ 71,63 ; $ 358,16 ;;;0013;PANES;PAN DE CAMPO X UNIDAD;;;;
0014;PANES;PAN DE CAMPO ZEPELLING BLANCO; $ 6.800,00 ; $ 2.310,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.400,00 ;;; $ 1.223,58 ; $ 305,89 ; $ 1.529,47 ;;;0014;PANES;PAN DE CAMPO ZEPELLING BLANCO;;;;
0027;PANES;PAN DE CAMPO ZEPELLING MULTICERAL; $ 6.800,00 ; $ 3.080,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.080,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.400,00 ;;; $ 1.223,58 ; $ 305,89 ; $ 1.529,47 ;;;0027;PANES;PAN DE CAMPO ZEPELLING MULTICERAL;;;;
0033;PANES;PAN DE CAMPO CHICO; $ 800,00 ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 400,00 ;;; $ 214,89 ;;;;;0033;PANES;PAN DE CAMPO CHICO;;;;
0016;PANES;PAN RAYADO ; $ 3.300,00 ; $ 1.045,00 ; $ 825,00 ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ -   ; $ 990,00 ; $ 1.045,00 ; $ -   ; $ 825,00 ; $ 1.210,00 ; $ 1.650,00 ;;; $ -   ; $ -   ; $ -   ;;;0016;PANES;PAN RAYADO ;;;;
0018;PANES;NEGRITO; $ 6.200,00 ; $ 2.860,00 ; $ -   ; $ 1.870,00 ; $ 2.860,00 ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ 1.870,00 ; $ 3.100,00 ;;; $ 895,70 ; $ 223,93 ; $ 1.119,63 ;;;0018;PANES;NEGRITO;;;;
0020;PANES;FIGASA; $ 6.200,00 ; $ 2.860,00 ; $ -   ; $ 1.870,00 ; $ 2.860,00 ; $ 2.860,00 ; $ -   ; $ 2.970,00 ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ 1.870,00 ; $ 3.100,00 ;;; $ 895,70 ; $ 223,93 ; $ 1.119,63 ;;;0020;PANES;FIGASA;;;;
0021;PANES;FLAUTA; $ 3.300,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ; $ 1.760,00 ; $ 1.870,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ; $ -   ; $ 2.090,00 ; $ 1.430,00 ; $ 1.540,00 ; $ 1.650,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0021;PANES;FLAUTA;;;;
